alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0.7,17.1605733961612,16.1079399918355,17.7039975040403,18.1303940739124,0.604367535372499,0.764469496209908,0.906549870099238,1.02536802779147,0.19126537928307,0.278844622525066,0.396904389743209
0.72,17.1605733961612,15.9567362160986,17.8162954097966,18.1816835711846,0.604367535372499,0.800032258584004,0.937243619207726,1.04952856196862,0.167769573576879,0.245632416710987,0.353862912367992
0.74,17.1605733961612,15.9682485497367,17.9143629098257,18.2299201435358,0.604367535372499,0.835233851681127,0.967237051193776,1.0724454381759,0.144389918962059,0.212777719945379,0.310352838776549
0.76,17.1605733961612,16.1120819199401,18.0085825581768,18.2749886238666,0.604367535372499,0.87448523183743,0.99881886263862,1.09626039755663,0.119705158651759,0.17723548318957,0.260782301760332
0.78,17.1605733961612,16.2026044102741,18.0936753221592,18.3180615317104,0.604367535372499,0.91534533466667,1.0316216010586,1.120109337208,0.093021113053415,0.138334983210588,0.205472838506484
0.8,17.1605733961612,16.2868549482312,18.1690592451707,18.3573072677549,0.604367535372499,0.957833572610074,1.06377109145755,1.14366427534322,0.0631897613972762,0.0942342419317858,0.14152432871984
0.82,17.1605733961612,16.1621804174764,18.2273410489973,18.3894707736622,0.604367535372499,0.996209293983557,1.09203313160194,1.16401440638234,0.0285604825158588,0.0427378218323625,0.0644647044474911
0.84,17.1605733961612,16.2059585770744,18.2624345731754,18.408947980571,0.604367535372499,1.0205644072997,1.11055015079449,1.17660572948282,0.00540474662476825,0.00763481851425492,0.0115406190406686
0.86,17.1605733961612,16.7628142886629,18.3178944766788,18.4348940195165,0.604367535372499,1.0559441544795,1.13627525724741,1.19409107215365,0.00040756799950389,0.000616168277099258,0.000861828576273873
0.88,17.1605733961612,17.2520007804689,18.3728695058164,18.4610573822682,0.604367535372499,1.0949576976405,1.16375508723667,1.21216133560187,1.93449189262081e-05,3.24393671312818e-05,5.88051126333766e-05
0.9,17.1605733961612,17.6805764269737,18.4207393879379,18.4854138798922,0.604367535372499,1.13771222298326,1.19111166475112,1.22969972984596,8.1098236644998e-07,1.7946890293232e-06,3.75904441351061e-06
0.92,17.1605733961612,17.9932550002505,18.4634617646085,18.5073429985631,0.604367535372499,1.17908175143717,1.21782157923034,1.24656420465132,3.60269147071578e-08,1.04817112012168e-07,2.51556217337069e-07
0.94,17.1605733961612,18.2311913595489,18.4995396249025,18.526671876259,0.604367535372499,1.21691515545558,1.24249956589167,1.26157620762881,2.0397882060487e-09,7.31068538039207e-09,2.04304152374581e-08
0.96,17.1605733961612,18.4058943521361,18.5287335856439,18.5427400361379,0.604367535372499,1.25020465875216,1.26426627840533,1.27469399766137,1.8372146072435e-10,7.32803996582087e-10,2.50305359353895e-09
0.98,17.1605733961612,18.5154123063607,18.5510628486444,18.5553086046117,0.604367535372499,1.27714446772583,1.28178780935589,1.28509637095691,2.95818057364282e-11,1.27105863547169e-10,5.04951200784325e-10
1,17.1605733961612,18.5612512995428,18.5613819255053,18.5615080855896,0.604367535372499,1.29021828257676,1.29021829115285,1.29021829945211,1.11450184978257e-11,4.79123154796969e-11,2.05974532486645e-10
